GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022500005,10,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,9,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,21,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,49,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,4,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,1,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,66,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,4,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,94,267,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,87,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,2,48,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,23,236,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,148,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,94,274,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,162,1629477,Sabrina Ionescu,1611661313,New York Liberty,2,9,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,9,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,345,1629477,Sabrina Ionescu,1611661313,New York Liberty,3,6,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,32,78,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,369,1629477,Sabrina Ionescu,1611661313,New York Liberty,3,5,14,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-92,259,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,380,1629477,Sabrina Ionescu,1611661313,New York Liberty,3,4,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-148,67,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,384,1629477,Sabrina Ionescu,1611661313,New York Liberty,3,3,47,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,35,1,0,20250517,NYL,LVA
