GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022500005,20,1627673,Jonquel Jones,1611661313,New York Liberty,1,8,17,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,11,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,28,1627673,Jonquel Jones,1611661313,New York Liberty,1,7,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,2,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,34,1627673,Jonquel Jones,1611661313,New York Liberty,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,57,238,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,185,1627673,Jonquel Jones,1611661313,New York Liberty,2,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,74,227,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,197,1627673,Jonquel Jones,1611661313,New York Liberty,2,7,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,15,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,231,1627673,Jonquel Jones,1611661313,New York Liberty,2,4,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-32,140,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,407,1627673,Jonquel Jones,1611661313,New York Liberty,3,2,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,12,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,415,1627673,Jonquel Jones,1611661313,New York Liberty,3,1,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-100,243,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,433,1627673,Jonquel Jones,1611661313,New York Liberty,3,0,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,23,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,447,1627673,Jonquel Jones,1611661313,New York Liberty,4,9,35,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,38,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,539,1627673,Jonquel Jones,1611661313,New York Liberty,4,3,8,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,14,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,579,1627673,Jonquel Jones,1611661313,New York Liberty,4,1,3,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,55,87,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500016,21,1627673,Jonquel Jones,1611661313,New York Liberty,1,8,31,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,207,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500016,43,1627673,Jonquel Jones,1611661313,New York Liberty,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-118,213,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500016,67,1627673,Jonquel Jones,1611661313,New York Liberty,1,4,58,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500016,179,1627673,Jonquel Jones,1611661313,New York Liberty,2,9,14,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-159,203,1,0,20250522,CHI,NYL
Shot Chart Detail,1022500016,337,1627673,Jonquel Jones,1611661313,New York Liberty,3,9,23,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,1,1,0,20250522,CHI,NYL
Shot Chart Detail,1022500016,371,1627673,Jonquel Jones,1611661313,New York Liberty,3,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,209,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500021,7,1627673,Jonquel Jones,1611661313,New York Liberty,1,9,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20250524,IND,NYL
Shot Chart Detail,1022500021,11,1627673,Jonquel Jones,1611661313,New York Liberty,1,8,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,1,1,20250524,IND,NYL
