GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022500005,31,1630142,Leonie Fiebich,1611661313,New York Liberty,1,7,6,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,27,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,357,1630142,Leonie Fiebich,1611661313,New York Liberty,3,5,34,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,232,57,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,463,1630142,Leonie Fiebich,1611661313,New York Liberty,4,8,28,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,23,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500016,77,1630142,Leonie Fiebich,1611661313,New York Liberty,1,4,20,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,112,212,1,0,20250522,CHI,NYL
Shot Chart Detail,1022500016,257,1630142,Leonie Fiebich,1611661313,New York Liberty,2,3,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500016,281,1630142,Leonie Fiebich,1611661313,New York Liberty,2,2,50,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,9,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500016,341,1630142,Leonie Fiebich,1611661313,New York Liberty,3,8,48,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,40,1,0,20250522,CHI,NYL
Shot Chart Detail,1022500016,375,1630142,Leonie Fiebich,1611661313,New York Liberty,3,6,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,220,1,1,20250522,CHI,NYL
Shot Chart Detail,1022500021,59,1630142,Leonie Fiebich,1611661313,New York Liberty,1,5,9,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,-14,1,0,20250524,IND,NYL
Shot Chart Detail,1022500028,82,1630142,Leonie Fiebich,1611661313,New York Liberty,1,4,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,11,1,1,20250527,NYL,GSV
Shot Chart Detail,1022500028,86,1630142,Leonie Fiebich,1611661313,New York Liberty,1,3,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-4,1,1,20250527,NYL,GSV
Shot Chart Detail,1022500028,341,1630142,Leonie Fiebich,1611661313,New York Liberty,3,6,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-187,176,1,0,20250527,NYL,GSV
Shot Chart Detail,1022500028,497,1630142,Leonie Fiebich,1611661313,New York Liberty,4,7,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,145,207,1,1,20250527,NYL,GSV
Shot Chart Detail,1022500033,301,1630142,Leonie Fiebich,1611661313,New York Liberty,3,8,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,244,1,0,20250529,NYL,GSV
Shot Chart Detail,1022500033,320,1630142,Leonie Fiebich,1611661313,New York Liberty,3,6,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,13,1,0,20250529,NYL,GSV
Shot Chart Detail,1022500033,440,1630142,Leonie Fiebich,1611661313,New York Liberty,4,8,16,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,29,1,0,20250529,NYL,GSV
Shot Chart Detail,1022500033,442,1630142,Leonie Fiebich,1611661313,New York Liberty,4,8,12,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20250529,NYL,GSV
Shot Chart Detail,1022500033,498,1630142,Leonie Fiebich,1611661313,New York Liberty,4,4,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,212,119,1,1,20250529,NYL,GSV
Shot Chart Detail,1022500036,7,1630142,Leonie Fiebich,1611661313,New York Liberty,1,9,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,6,1,1,20250530,WAS,NYL
Shot Chart Detail,1022500036,19,1630142,Leonie Fiebich,1611661313,New York Liberty,1,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-237,34,1,1,20250530,WAS,NYL
Shot Chart Detail,1022500036,55,1630142,Leonie Fiebich,1611661313,New York Liberty,1,5,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,17,1,1,20250530,WAS,NYL
Shot Chart Detail,1022500036,267,1630142,Leonie Fiebich,1611661313,New York Liberty,2,1,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,22,1,1,20250530,WAS,NYL
Shot Chart Detail,1022500036,534,1630142,Leonie Fiebich,1611661313,New York Liberty,4,3,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-39,249,1,0,20250530,WAS,NYL
Shot Chart Detail,1022500041,17,1630142,Leonie Fiebich,1611661313,New York Liberty,1,8,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,27,1,1,20250601,NYL,CON
Shot Chart Detail,1022500041,40,1630142,Leonie Fiebich,1611661313,New York Liberty,1,5,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-163,226,1,1,20250601,NYL,CON
Shot Chart Detail,1022500041,108,1630142,Leonie Fiebich,1611661313,New York Liberty,1,0,0,Missed Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,42,-178,391,1,0,20250601,NYL,CON
Shot Chart Detail,1022500041,258,1630142,Leonie Fiebich,1611661313,New York Liberty,3,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,190,1,1,20250601,NYL,CON
Shot Chart Detail,1022500041,272,1630142,Leonie Fiebich,1611661313,New York Liberty,3,7,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,7,1,1,20250601,NYL,CON
Shot Chart Detail,1022500048,89,1630142,Leonie Fiebich,1611661313,New York Liberty,1,3,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,6,1,0,20250605,WAS,NYL
Shot Chart Detail,1022500048,203,1630142,Leonie Fiebich,1611661313,New York Liberty,2,6,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,1,20250605,WAS,NYL
Shot Chart Detail,1022500048,230,1630142,Leonie Fiebich,1611661313,New York Liberty,2,4,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,200,140,1,1,20250605,WAS,NYL
Shot Chart Detail,1022500048,392,1630142,Leonie Fiebich,1611661313,New York Liberty,3,4,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,191,194,1,1,20250605,WAS,NYL
Shot Chart Detail,1022500048,401,1630142,Leonie Fiebich,1611661313,New York Liberty,3,2,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-26,1,0,20250605,WAS,NYL
Shot Chart Detail,1022500059,194,1630142,Leonie Fiebich,1611661313,New York Liberty,2,5,43,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,4,1,0,20250610,NYL,CHI
Shot Chart Detail,1022500059,206,1630142,Leonie Fiebich,1611661313,New York Liberty,2,5,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,2,1,0,20250610,NYL,CHI
Shot Chart Detail,1022500059,242,1630142,Leonie Fiebich,1611661313,New York Liberty,2,1,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-20,1,1,20250610,NYL,CHI
Shot Chart Detail,1022500059,273,1630142,Leonie Fiebich,1611661313,New York Liberty,3,9,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,200,1,0,20250610,NYL,CHI
Shot Chart Detail,1022500059,287,1630142,Leonie Fiebich,1611661313,New York Liberty,3,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,70,1,1,20250610,NYL,CHI
Shot Chart Detail,1022500059,353,1630142,Leonie Fiebich,1611661313,New York Liberty,3,4,21,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-196,77,1,0,20250610,NYL,CHI
Shot Chart Detail,1022500110,58,1630142,Leonie Fiebich,1611661313,New York Liberty,1,5,45,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,16,1,0,20250703,NYL,LAS
Shot Chart Detail,1022500110,226,1630142,Leonie Fiebich,1611661313,New York Liberty,2,4,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,137,1,0,20250703,NYL,LAS
Shot Chart Detail,1022500110,341,1630142,Leonie Fiebich,1611661313,New York Liberty,3,5,30,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,184,1,0,20250703,NYL,LAS
