GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022500005,24,204333,Natasha Cloud,1611661313,New York Liberty,1,7,56,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,16,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,38,204333,Natasha Cloud,1611661313,New York Liberty,1,6,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-3,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,79,204333,Natasha Cloud,1611661313,New York Liberty,1,3,23,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,27,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,97,204333,Natasha Cloud,1611661313,New York Liberty,1,2,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,17,90,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,119,204333,Natasha Cloud,1611661313,New York Liberty,1,1,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-90,151,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,211,204333,Natasha Cloud,1611661313,New York Liberty,2,6,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,2,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,221,204333,Natasha Cloud,1611661313,New York Liberty,2,5,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,13,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,239,204333,Natasha Cloud,1611661313,New York Liberty,2,3,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,252,204333,Natasha Cloud,1611661313,New York Liberty,2,2,22,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,54,233,1,0,20250517,NYL,LVA
Shot Chart Detail,1022500005,276,204333,Natasha Cloud,1611661313,New York Liberty,2,0,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,56,162,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,325,204333,Natasha Cloud,1611661313,New York Liberty,3,8,21,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,30,27,1,1,20250517,NYL,LVA
Shot Chart Detail,1022500005,327,204333,Natasha Cloud,1611661313,New York Liberty,3,7,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-46,261,1,0,20250517,NYL,LVA
